Path,Owner,Category,Rationale
~/.minirc.synology,Chezmoi (dot_minirc.synology),CHEZMOI,Minicom serial profile for hardware
~/.multica/config.json,Chezmoi (dot_multica/config.json.tmpl),CHEZMOI,Token from Keychain
~/.npmrc,NOT TRACKED,REPLACED,CA cert path — now in shell env
~/.openfga-admin/config.json,Chezmoi (dot_openfga-admin/config.json),CHEZMOI,OpenFGA admin profiles
~/.pi/agent/settings.json,Chezmoi (dot_pi/agent/settings.json),CHEZMOI,Pi agent model config
~/.profile,Chezmoi (dot_profile.tmpl),CHEZMOI,POSIX login shell init
~/.ssh/config,Chezmoi (dot_ssh/config.tmpl),CHEZMOI,SSH host definitions — per-machine template
~/.ssh/id_*,NOT TRACKED,SECRET,Private keys in Keychain via ssh-add --apple-use-keychain
~/.stignore,Chezmoi (dot_stignore),CHEZMOI,Syncthing ignore patterns
~/.talos/,NOT TRACKED,SECRET,Cluster admin certs — cannot extract to keychain
~/.testkube/config.json,Chezmoi (dot_testkube/config.json),CHEZMOI,TestKube connection config
~/.vault-token,NOT TRACKED,IGNORE,Short-lived — regenerated by vault login
~/.wgetrc,NOT TRACKED,REPLACED,Corp CA path — now in shell env
~/.zprofile,Chezmoi (dot_zprofile.tmpl),CHEZMOI,Zsh login — MacPorts PATH per-machine
~/.zsh_plugins.txt,Chezmoi (dot_zsh_plugins.txt),CHEZMOI,Antidote plugin list
~/.zshenv,Chezmoi (dot_zshenv.tmpl),CHEZMOI,Zsh env — PATH certs gcloud per-machine
~/.zshrc,Chezmoi (dot_zshrc.tmpl),CHEZMOI,Interactive zsh framework — sources local.zsh and initializes prompt/history from PATH
~/.agents/.skill-lock.json,Chezmoi (dot_agents/.skill-lock.json),CHEZMOI,Agent skill lock
~/.agents/scripts/,Chezmoi (dot_agents/scripts/),CHEZMOI,Model sync scripts
~/.agents/skills/,NOT TRACKED,EXTERNAL,200+ skills — too large consider .chezmoiexternal
~/.advLdap/,Chezmoi (dot_advLdap/),CHEZMOI,LDAP test certificates — public not private
~/.android/,NOT TRACKED,IGNORE,Android SDK state
~/.atuin/,NOT TRACKED,IGNORE,Atuin binary + logs — config via HM
~/.awake/awake.toml,Chezmoi (dot_awake/awake.toml),CHEZMOI,Awake tool config
~/.aws/config,Chezmoi (dot_aws/config),CHEZMOI,AWS SSO profiles — no secrets just URLs+account IDs
~/.azure/,NOT TRACKED,IGNORE,Azure CLI tokens — regenerated by az login
~/.bb9/env,Chezmoi (dot_bb9/env.tmpl),CHEZMOI,API key from Keychain
~/.bun/,NOT TRACKED,IGNORE,Bun runtime cache
~/.cache/,NOT TRACKED,IGNORE,XDG cache — ephemeral
~/.cargo/,NOT TRACKED,IGNORE,Cargo registry — large auto-populated
~/.cloudflared/config.yml,Chezmoi (dot_cloudflared/config.yml),CHEZMOI,Tunnel config — no secrets just tunnel ID + ingress
~/.cloudflared/cert.pem,NOT TRACKED,SECRET,Regenerated by cloudflared tunnel login
~/.codewiki/config.json,Chezmoi (dot_codewiki/config.json.tmpl),CHEZMOI,API endpoint from Keychain
~/.codewiki/credentials.json,NOT TRACKED,SECRET,API key — stored in Keychain referenced by template
~/.context7/,NOT TRACKED,IGNORE,OAuth tokens — short-lived auto-refreshed
~/.dns-bench/config.toml,Chezmoi (dot_dns-bench/config.toml),CHEZMOI,DNS benchmarking config
~/.docker/,Chezmoi (dot_docker/config.json.tmpl),CHEZMOI,See above — credsStore handles auth
~/.gemini/,NOT TRACKED,IGNORE,Gemini runtime state
~/.gitnexus/,NOT TRACKED,IGNORE,GitNexus index — auto-generated per repo
~/.gitlab/,NOT TRACKED,IGNORE,Activity timestamps not credentials
~/.gradle/,NOT TRACKED,IGNORE,Gradle cache
~/.krew/,NOT TRACKED,IGNORE,kubectl plugin manager — managed by krew
~/.local/,NOT TRACKED,IGNORE,XDG local data
~/.lmstudio/,NOT TRACKED,IGNORE,LM Studio models + state
~/.m2/,NOT TRACKED,IGNORE,Maven repository cache
~/.mg/,NOT TRACKED,IGNORE,MS Graph auth metadata — tokens in Keychain
~/.minikube/,NOT TRACKED,IGNORE,VM state — ephemeral
~/.npm/,NOT TRACKED,IGNORE,npm cache
~/.ollama/,NOT TRACKED,IGNORE,Ollama model cache
~/.pulumi/,NOT TRACKED,IGNORE,State in cloud backend
~/.rustup/,NOT TRACKED,NIX-PKG,settings.toml auto-generated — Nix manages toolchain
~/.vscode/,NOT TRACKED,IGNORE,VS Code runtime — syncs via Settings Sync
~/Library/Application Support/com.mitchellh.ghostty/config,Chezmoi (private_Library/.../config),CHEZMOI,Ghostty terminal — macOS-only path
